TIPO_ELEZIONI,ANNO,MESE,GIORNO,CANDIDATO,CANDIDATO_LISTA,ABS_RANK,TIPO_METRICA,VOTI,LBL_TIPO_METRICA
COMUNALI,2024,giugno,09,GATTI ARCONTE,"GATTI ARCONTE
CENTRODESTRA UNITO PER VANZAGHELLO - RIACCENDIAMO VANZAGHELLO",1,PERC_VAL,61.84,Percentuale (su voti validi)
COMUNALI,2024,giugno,09,GATTI ARCONTE,"GATTI ARCONTE
CENTRODESTRA UNITO PER VANZAGHELLO - RIACCENDIAMO VANZAGHELLO",1,PERC_ASS,38.93,Percentuale (su aventi diritto)
COMUNALI,2024,giugno,09,ASTENUTI,ASTENUTI,2,VOTI_OTTENUTI,1548.0,Voti ottenuti
COMUNALI,2024,giugno,09,ASTENUTI,ASTENUTI,2,PERC_ASS,35.83,Percentuale (su aventi diritto)
COMUNALI,2024,giugno,09,GIANI RINO,"GIANI RINO
INSIEME PER VANZAGHELLO",3,VOTI_OTTENUTI,1038.0,Voti ottenuti
COMUNALI,2024,giugno,09,GIANI RINO,"GIANI RINO
INSIEME PER VANZAGHELLO",3,PERC_VAL,38.16,Percentuale (su voti validi)
COMUNALI,2024,giugno,09,GIANI RINO,"GIANI RINO
INSIEME PER VANZAGHELLO",3,PERC_ASS,24.02,Percentuale (su aventi diritto)
COMUNALI,2024,giugno,09,NULLE,NULLE,4,VOTI_OTTENUTI,27.0,Voti ottenuti
COMUNALI,2024,giugno,09,NULLE,NULLE,4,PERC_ASS,0.62,Percentuale (su aventi diritto)
COMUNALI,2024,giugno,09,BIANCHE,BIANCHE,5,VOTI_OTTENUTI,26.0,Voti ottenuti
COMUNALI,2024,giugno,09,BIANCHE,BIANCHE,5,PERC_ASS,0.6,Percentuale (su aventi diritto)
